,id,titolo,modello,anno,chilometri,cambio,price
0,0,FERRARI California f30 valuto permute,California,12/2013,65000,Automatico,115000
1,1,Ferrari mondial asi targa oro,Mondial,07/1986,80000,-,41000
3,3,Ferrari testarossa 512,Testarossa/512 TR,07/1987,42000,-,95000
4,4,FERRARI Testarossa/512 TR - 1991,Testarossa/512 TR,05/1991,51000,-,10000
5,5,Ferrari California dic2011 tenuta maniacalmente,California,12/2011,15000,Automatico,105000
6,6,FERRARI California T DCT,California,11/2015,102000,Automatico,109000
7,7,FERRARI Portofino - 2020,Portofino,02/2020,1,Automatico,259000
8,8,Ferrari F108 ALQ mondial quattrovalvole,Mondial,07/1983,9000,Manuale,50000
9,9,FERRARI Altro modello - 2020,Altro modello,09/2020,10,Automatico,2500000
10,10,FERRARI Mondial 3.4 t (PERMUTE) libro tagliandi,Mondial,07/1989,63800,Manuale,58900
11,11,FERRARI F355 F1 GTS,F355,09/1998,66000,Automatico,73000
12,12,FERRARI 208 turbo intercooler GTS,208/308/328/GTO,07/1987,26000,Manuale,73000
13,13,FERRARI 612 Scaglietti F1,612,09/2006,49876,Sequenziale,85000
14,14,FERRARI Portofino - 2020,Portofino,02/2020,1,Automatico,259000
15,15,Ferrari 360,360,01/1996,190000,-,1
16,16,Ferrari 488 GTB,488,06/2016,9800,Automatico,174000
17,17,Ferrari 512 TR,Altro modello,06/1994,101000,Manuale,110000
18,18,Ferrari f355 - 1995,F355,01/1995,57000,Manuale,70000
19,19,Ferrari 812 - 2018,812,11/2018,8000,Manuale,80000
20,20,Ferrari 599 gtb fiorano f1,599,06/2007,40000,-,123000
22,22,Ferrari Testarossa ASI,Testarossa/512 TR,03/1991,19900,Manuale,103500
23,23,Ferrari 308 Gtbi Quattrovalvole TARGA ORO ASI,208/308/328/GTO,01/1985,37300,Manuale,70000
24,24,FERRARI 360 Spider F1 3.6 V8 400cv ROSSO CORSA2001,360,07/2001,59000,Automatico,63990
25,25,FERRARI F355 Gts   libro tagliandi,F355,05/1994,48000,Sequenziale,66500
26,26,Ferrari 456,456,09/2000,20000,Sequenziale,65900
28,29,Ferrari 365 gt4 2+2,Altro modello,01/1970,45900,Manuale,85000
30,31,Ferrari 599 Gtb Fiorano F1,599,07/2007,35500,Automatico,119000
31,32,Ferrari Testarossa / REALIZZO IMMEDIATO,Testarossa/512 TR,09/1986,58000,-,79900
32,33,FERRARI F355 Spider,F355,04/1996,67578,Manuale,69900
33,34,Ferrari 348 tb- 1990,348,12/1990,49000,Manuale,55000
34,35,Ferrari 412 1985 --A DISPOSIZIONE DELLA FAMIGLIA ,412,06/1985,75855,Manuale,85000
35,36,Ferrari 458 Spider 4.5 DCT  Versione speciale,458,03/2014,15000,Sequenziale,188000
36,37,Ferrari 348 tb - asi perfetta,348,04/1993,66000,Manuale,70000
37,38,Ferrari f355 - 1995,F355,01/1995,57000,Manuale,70000
38,39,FERRARI California T DCT,California,11/2015,102000,Automatico,109000
39,40,Ferrari California dic2011 tenuta maniacalmente,California,12/2011,15000,Automatico,105000
40,41,FERRARI 208 turbo GTS,208/308/328/GTO,02/1984,42800,Manuale,78800
41,42,FERRARI 328 GTB,208/308/328/GTO,10/1986,29000,Manuale,90000
42,43,FERRARI 348 ts 1992 ASI ORO,348,01/1992,52600,Manuale,72500
43,44,Ferrari 328 gts,208/308/328/GTO,01/1989,84000,Manuale,89000
44,45,FERRARI Mondial - 3200 1986,Mondial,06/1986,75000,Manuale,45000
45,46,Ferrari f430 - 2007,F430,08/2007,42000,Automatico,85000
46,47,Ferrari 612 - 2008,612,11/2008,53000,Sequenziale,90000
47,48,Ferrari F430 F1 coupè - grigio silverstone -,F430,11/2005,58000,Automatico,82000
48,49,Ferrari 458 Italia DCT - 2010,458,11/2010,68000,Automatico,140000
49,50,Ferrari 360 modena F1 interni daytona -PER MU TO-,360,09/2002,70000,Automatico,68000
50,51,FERRARI 612 Scaglietti F1 SERVICE BOOK,612,11/2004,15480,Automatico,75900
52,53,FERRARI Testarossa/512 TR - 1986,Testarossa/512 TR,06/1986,58200,Manuale,86500
53,54,FERRARI Mondial,Mondial,05/1981,75000,Manuale,41000
55,56,FERRARI 348 tb cat,348,02/1991,83000,Manuale,65000
56,57,FERRARI 456 M GTA,456,08/2001,60000,Automatico,56000
57,58,FERRARI 575 M Maranello F1,575M,06/2003,48500,Sequenziale,79000
58,59,FERRARI Dino GT4 208 GT/4,Dino 208 GT/4,06/1970,101657,Manuale,75000
59,60,FERRARI 456 GT,456,10/1995,86299,Manuale,59500
60,61,FERRARI 308 GTB,208/308/328/GTO,02/1980,34617,Manuale,109000
61,62,FERRARI Mondial 3.4 t cat,Mondial,07/1990,86227,Manuale,47900
62,63,FERRARI California T DCT,California,05/2017,14500,Sequenziale,155000
63,64,FERRARI California T DCT - GARANZIA FERRARI,California,07/2014,42000,Sequenziale,135000
64,65,Ferrari FF TETTO SED VENT CARBONIO ROSSO MARANEL,FF,07/2012,25000,Manuale,195000
65,66,Ferrari F355 GTS SERVICE SAMOCAR,F355,07/1995,99000,Manuale,61900
66,67,FERRARI California T DCT,California,11/2015,102000,Automatico,109000
67,68,Ferrari F430 F1 CARBOCERAMICA,F430,10/2006,42000,Sequenziale,95000
68,69,Ferrari F355 GTS Service Book,F355,09/1996,45000,Manuale,85000
69,70,Ferrari 348 - 1990,348,01/1990,52000,-,55000
70,71,Ferrari f355 - 1995,F355,01/1995,57000,Manuale,70000
71,72,FERRARI California T DCT,California,11/2015,102000,Automatico,109000
72,73,Ferrari California dic2011 tenuta maniacalmente,California,12/2011,15000,Automatico,105000
73,74,Ferrari Mondial CAMBIO SEMIAUTOMATICO....43 PROD,Mondial,04/1993,37000,Sequenziale,59900
74,75,Ferrari Testarossa/512 TR Testarossa cat,Testarossa/512 TR,07/1990,35230,Manuale,95000
