,id,titolo,modello,desc,link,anno,chilometri,cambio,price
0,0,FERRARI California f30 valuto permute,California,"Volante in pelle, USB, Sedili sportivi, Luci diurne LED, Leve al volante, Fari LED, Immobilizzatore elettronico, Cerchi in lega, Antifurto, Volante multifunzione, Vivavoce, Sistema di navigazione, MP3, Lettore CD, Bluetooth, Autoradio, Specchietti laterali elettrici, Servosterzo, Sensori di parcheggio posteriori, Sensori di parcheggio anteriori, Regolazione elettrica sedili, Interni in pelle, Controllo automatico clima, Climatizzatore, Chiusura centralizzata, Alzacristalli elettrici, Fari Xenon, ESP, Controllo trazione, Airbag Passeggero, Airbag, ABS 
 FINANZIAMENTO IN SEDE 
 COPPOLA CAR VIA LUCA GIORDANO 109 CERCOLA 
 PER INFO 3284123451 
 UFFICIO 081 2139283",https://www.subito.it/auto/ferrari-california-f30-valuto-permute-napoli-331704305.htm,12/2013,65000,Automatico,115000
1,1,Ferrari mondial asi targa oro,Mondial,"Vendo Ferrari mondial 1986 quattrovalvole 3.2 ASI TARGA ORO tutto originale km 80mila  
 aria condizionata tettino elettrico abs  
 Non necessita di alcun intervento da effettuare ( proveniente da collezione privata) 
 SI VALUTA PERMUTA.",https://www.subito.it/auto/ferrari-mondial-asi-targa-oro-roma-331459781.htm,07/1986,80000,-,41000
3,3,Ferrari testarossa 512,Testarossa/512 TR,"Testarossa monodato doppio specchio iscritta asi anno 1987 km 42.000 ultimissimi lavori effettuati frizione,distribuzione tagliando ecc ottimo stato euro 95.000 tratt o accetto piccola permuta con auto di piccola cilindrata.",https://www.subito.it/auto/ferrari-testarossa-512-roma-331686598.htm,07/1987,42000,-,95000
4,4,FERRARI Testarossa/512 TR - 1991,Testarossa/512 TR,"Vendo Ferrari testarossa gialla...scarico tubolare in acciaio, coppia frizione in rame, ammortizzatori coni...e molti altri ricambi...per Maggiori dettagli 3248677267Osvaldo..",https://www.subito.it/auto/ferrari-testarossa-512-tr-1991-messina-323859746.htm,05/1991,51000,-,10000
5,5,Ferrari California dic2011 tenuta maniacalmente,California,"FERRARI CALIFORNIA DCT , TENUTA PERFETTAMENTE, CERTIFICAZIONE CHILOMETRAGGIO CON LIBRETTO TAGLIANDI UFFICIALE , GARANZIA POWER FERRARI ESTESA, pacchetto manutenzione ferrari 7 anni , colore nero carbone Ferrari metallizzato , sensori di parcheggio anteriori e posteriori , fari full Led e Xenon adattivi , cerchi in lega R 20 , scudetti laterali Ferrari nuovi , freni carbocermici , sospensioni magnetic logic , interni in pelle Daytona totalmente Rossi , cuciture rosse , cruscotto rivestito in pelle totalmente , regolazione elettrica dei sedili con memorie , volente multifunzione in pelle con regolazione elettrica , sedili riscaldati , cavallino rampante sui poggiatesta , leve al volante , controllo pressione pneumatici , cruise control , navigatore satellitare , predisposizione telefono , bluetooth , impianto stereo con caricatore USB-AUZ , antifurto , climatizzatore automatico , start & stop , ecc... 
  
 CONDIZIONI perfette ! 
  
 Auto Italiana, sedili e attrezzi ancora imbustati . 
  
 Annuncio di Privato ! 
  
 PER INFO : 3346713663",https://www.subito.it/auto/ferrari-california-dic2011-tenuta-maniacalmente-napoli-299973038.htm,12/2011,15000,Automatico,105000
6,6,FERRARI California T DCT,California,"Alzacristalli elettrici 
 Bracciolo 
 Climatizzatore 
 Controllo automatico clima 
 Cruise Control 
 Hill Holder 
 Park distance control 
 Sensore di pioggia 
 Sensori di parcheggio assistito anteriori 
 Sensori di parcheggio assistito posteriori 
 Sistema di navigazione 
 Specchietti laterali elettrici 
 Supporto lombare 
 Telecamera per parcheggio assistito 
 Tettuccio apribile 
 Volante in pelle 
 Volante multifunzione 
 Intrattenimento / Media 
 Bluetooth 
 Computer di bordo 
 MP3 
 Vivavoce 
 Extra 
 Cerchi in lega 
 Leve al volante 
 Sedili sportivi 
 Sospensioni sportive 
 Sicurezza 
 ABS 
 Airbag conducente 
 Airbag laterali 
 Antifurto 
 Chiusura centralizzata 
 Chiusura centralizzata telecomandata 
 Controllo automatico trazione 
 ESP 
 Fari LED 
 Fari Xenon 
 Immobilizzatore elettronico 
 Luci diurne 
 Luci diurne LED 
 Servosterzo 
 Sistema di controllo pressione pneumatici",https://www.subito.it/auto/ferrari-california-t-dct-arezzo-331252268.htm,11/2015,102000,Automatico,109000
7,7,FERRARI Portofino - 2020,Portofino,"Auto nuova. Full Full optional. 
 Fari adativi 
 Cuoio esteso 
 Completo Fibra di carbonio dentro/fuori 
 Cavallino sui sedili 
 Scarico sportivo 
 Scuderia Loghi 
 Cerchi da 20 diamond 
 etc....",https://www.subito.it/auto/ferrari-portofino-2020-udine-328706470.htm,02/2020,1,Automatico,259000
8,8,Ferrari F108 ALQ mondial quattrovalvole,Mondial,"Salve, sono il proprietario di questo ferrari, restaurato completamente e con il motore revisionato completamente con il cambio, la macchina monta cerchi e le gomme nuove sue originali. Macchina già iscritta ASI.. disponibilità di permuta con Porsche 997.. per info contattatemi prezzo trattabile",https://www.subito.it/auto/ferrari-f108-alq-mondial-quattrovalvole-verona-323810204.htm,07/1983,9000,Manuale,50000
9,9,FERRARI Altro modello - 2020,Altro modello,"Vendo per conto di un'amico splendida Ferrari spider Monza SP2, consegna per fine anno,  
 esemplare pazzesco. 
 Astenersi perditempo. 
 è stata incoronata la più bella Supercar a Parigi. 
 Per maggiori informazioni accreditarsi via email. 
 No curiosi.",https://www.subito.it/auto/ferrari-altro-modello-2020-como-331685255.htm,09/2020,10,Automatico,2500000
10,10,FERRARI Mondial 3.4 t (PERMUTE) libro tagliandi,Mondial,"Chilometraggio: 63800 
 Condizioni: usato 
 Immatricolazione: 07/1989 
 Tipologia: Cabrio 
 Carburante: Benzina 
 Tipo di cambio: Manuale 
  
  
  
 Valuto permuta.... 
 Auto molto bella .. E RARA munita di LIBRO TAGLIANDI e fatture eseguite in Ferrari.. l'ex proprietario un vero pignolo (distribuzione e molti lavori eseguiti  in officina Ferrari)  auto meravigliosamente  conservata .......... 
  
 ......valuto .PERMUTO con auto moderne o d'epoca .  
  
   RICEVO SU APPUNTMENTO. . . .  Contatto whatsapp 3357418934. si riceve su appuntamento ..Tutti i nostri veicoli sono visionabili, in ogni parte. E' gradita la presenza di un Vostro tecnico di fiducia.Le informazioni potrebbero contenere delle imprecisioni involontarie. L'inserzione non ha valore contrattuale, ma solo informativo . . . 
 Rivenditore AUTOGOLD SRL",https://www.subito.it/auto/ferrari-mondial-3-4-t-permute-libro-tagliandi-pistoia-331680013.htm,07/1989,63800,Manuale,58900
